제목,내용
한 걸음의 힘,"한 걸음의 가치가
얼마나 커다란
힘이 있고 귀한지
알고 걸어 보세요
작은 씨앗도 폭풍우도
뜨거운 볕도 견디어
예쁜 꽃으로 피고
탐스러운 열매도
열리게 하는 것을
그대도 잘 알고 있지요
잊지만 말고 꼭꼭 기억하세요
그 사실만
깊이 새기고 걸으면
깊은 맛이 느껴지는 달달한
열매는 그대의 것이니까요
그대도 나도
보람 있는 한 걸음을
아침해와 함께 시작해요"
은방울꽃,"내가 깊은 잠속에 빠져
그때
그러기에
지난밤에 내가
그대를 꿈속에서 보았나봐요
살며시 내 이마를 만져주던 그
은방울꽃 향기같은
당신"
후회 없는 인생,"진실과 정열로 살아 온
긴요한 동공의 세월이었다
푸념과 침묵 속에서도
삶의 울안에는 정의가 자리하였고
항시 웃음꽃 피어 있는 얼굴은
진실로 산 결정체가 아닐까
흐르는 세월에 동승하여
가슴에 사랑만을 담고 살아 온 정열
지혜와 어리석음의 갈등 속에서
다행이 지혜로운 인생길이었다
인생은 일장춘몽이라지만
한 세상 사는 것 미련도 후회도 없이
한 점 부끄럼 없이 살았노라고
말할 수 있는 삶이었으면"
하얀 숲의 마음인 봄날의 아침,"강가에 있는
달맞이꽃의 수필에도
매일 매일 도착하는 이슬편지가 있어
동시처럼 잠들고
동요처럼 깨어
풀잎들의 마음에 고요함의 흔적만 남도록
몰래 밤새워 가버린
소낙비 두려움이 가까이 보이겠지요.
그래서 애태움을 사랑한
알 수 없는 봄날의 기억
송판위에 오른 그리움의 시간에 도착한
거칠어진 시냇물
대패로 깎아
오래됨의 의미들이 되고
평평한 강물을 만져진
깊음과 넓이 또한 풀잎들의 스침도 알아가는
갯벌과 금모래와 파도
찬란한 아침이면 바람을 부르는 소리를
당신의 꿈속에서 들을 수 있습니다
그래서 아름다운 날에요
순수의 지혜창고가 있고
풀잎의 푸름과 초록색의 어울림의 다양함
누구에게나
자신의 기다림을 주는
참다운 용기를 가
아침고운 햇살의 마음 여기저기 널어놓아
다시 펼쳐지는 날엔
지붕이 있는 곳에
처마 끝에 떨어지는 봄은 소리를 마중 갑니다.
때론 봄날에게
이슬비 편 지속에 비 내리는 풍경을 보여주고
그렇게 강물이
하나의 연필로 그려진
당신의 우산을 쓴 모습을 그리고 싶어 함도
마음을 설렌 안개는
늦은 골목에서 혼자 알게 됩니다."
영혼,"이제사 비로소 유혼이 자유로워진
세상 연이 닿은 공허한 이승 떠날
생을 짓누르던 깊은 번뇌 고통마저
고독하고 쓸쓸해 더욱 외로운 장막
아득히 먼 창공 파아란 하늘가 향해
홀로 아득한 자유가 된 별리의 세계
만사가 헛되고 허무함이 맴도는 윤회
생의 긴 그림자 내려놓은 무심한 넋
되짚어 지나쳐온 삶의 고뇌 해탈 승천"
산길 들길,"추억만 가져왔던 때
동서남북 마다않고
오르고 내리기도 하며
멀고 먼 데 바라보다가
야호 소리 신나던 때
낯설어 즐겁던 산길 들길
써나갔던 산행 일지
한 장씩 들춰보며
빙그레 미소 짓는다"
하얀 햇살,"햇살을 쬐고 앉은 까치는 하얀 햇살
햇살이 부스러기로 깡충깡충 내린다"
설날의 눈,"손으로 섣달 그뭄
오묘한 당신만을 만나러 가는 밤에
요정의 별들 흰옷을 설빔으로 건넨다
백합화 양손으로 상큼히 안아들고
나에게 맵디매운 열내림 뿌리는 날
하얀 설
하늘의 이슬 은바다로 내린다"
이젠 남아있는 것은 나뭇잎 사랑,"바람에게 보낸 고운엽서
그리고 무지개 문장에 보이는 안개의 창문
크레용의 단어
푸른색은 노란색의 닮음
잊어버린 우산속의 기다림이
느낌으로 말하고
초록색은 붉은색에게 가슴속 불태운 이야기를
불꽃의 의미
별의 마음이라고 말해줄때
가을만이
오래됨의 계단 그렇게 찾아온 의자와 단풍잎은
한 장 한 장 쌓이고
노란 잎의
은행나무와 바람과 별과 동행
노래의 마음을 읽을 때
꿈에서 깨어
별빛의 책상에 가까이
단풍잎 이야기를 살며시 들어봅니다.
그래서 아름다운 날에요
별빛의 빛남으로 한자씩
고요함의 무게를 알아가고
가을하나의 꿈이 별빛을 만들고
순수의 날이 오도록
강물의 아침
시냇물 졸졸 거리는
싸리담장이 그 정겨움이 달빛에
가을이면 오동 잎
풀잎으로 지고 또 지면
반달과 여러 개
담장과 기와지붕 또한 가지런히
꿈은 미끄러지지 않고
이내 고요함 아래
아름다움이 되어 순결함으로 당신을 기다립니다.
비와 바람이 되는 일
꿈과 무지개의
별빛으로 마음을 입히는 일도"
호박,"누런 한 덩어리
담장 위에 올라있다
오가던 길
볼 때마다 하늘로 간
아내를 떠올린다
그릇이 귀하던 시절
초가지붕 위에서
박에게 빼앗겼던 인기를
되찾았다
겉과 속이 늘 한결같은
멋 부릴 줄 모르는
듬직한 너는
누런 씨앗 간직한 채
황금빛 속살로
속을 다 비우고 있다."
눈빛 언어,"견뎌내
꼿꼿이 서 있는 나무처럼
너라서 좋아
지금 잘하고 있어
네가 있어 나도 버티는걸
난 너 이대로가 좋아
나에겐 너 자체로 소중하고 행복해
너만 있으면, 세상에 더 필요한 게 없어
너는 나의 힘의 원천이지
곁에 있어 줘서 고마워
우리 언젠가 함께 피어난 꽃이 되자
살다 보면 세상은 살아지는 거야
혼자 고민하지 마, 곁에 내가 있잖아, 서두르지도 마
네가 있기에 내가 살 수 있고, 못 할 게 없는 거야
긍정의 눈으로 아름다움만 보자, 넌 할 수 있어
네가 어떤 선택을 하든 응원할게
언제든 불러
바로 갈게
자꾸 보고싶어 살게 해주는 흙이 있어
나무가 좀 작은 나무에게"
고통 속에 핀 꽃,"차디찬 슬픔 속에서 피어났구나
고통이 고통으로 끝나지 않게
기어이 한 송이 꽃을 피워냈구나
노란 복수초!"
만월 2,"뜰앞에 나서니
삼라만상은
고요의 늪으로 빠져들고
차가운 만월의 달빛은
나목의 그림자를 뿌리고 있었다.
얼마나 많은 사람들이
이 눈부신 만월을 향해
간절한 소원을 빌고 있을까.
어둠을 걷어내는
신비로운 만월을
휩싸고 도는 고독의 갈피마다
옛 임들의 면면들이
아련한 추억을 거느리고
요요한 달빛 속으로 살아난다.
삼경으로 이어지는
천만 가지 상념을 꽃피우면서"
그대만큼,"거친 무한허공의 세상 세파 속
흘러간 과거 결코 기억하지 말며
미래 갈망하지 말고 현재에 머물러
힘들고 지친 소소한 마음의 위로가 될
새 희망 가득 샘솟는 새해벽두 마음치유
마음껏 울어볼 수도 없는 아픔 슬픔처럼
외롭고 쓸쓸하게 공허함이 묻어나는 세월
고개 들어 파아랗게 펼쳐진 창공 하늘 향해
글썽이는 눈물 그리움 삼키는 왕성한 생명력"
별,"먹물 든 가슴에 별 하나 단다
퀸스타운에서 만난 미리내 속에
이름 없는 별 하나 따다가
낮에도 소망의 빛을 주는
별 하나 흐르게 한다"
고등어,"비릿하고 고소한 생선 냄새가 집안을 채운다
서민 밥상을 채우던 흔한 고등어
동그란 큰 눈은 소신공양으로 생을 마친다
푸른 바다를 유영하며 세파에 몸을 키웠을
고도리 시절에는 가족들과 많은 대화를 나누었을까
힘센 놈들에게 치어 구석에 숨어 울지는 않았을까
때론 바다 위로 뛰어오르는 꿈들은 꾸며
누구에게도 잡히지 않고 몸을 키우며
살아질 때까지 그렇게 헤엄치며
그렇게 등 푸르게 살아질 때까지"
손을 들여다보며,"잠도 설치며 끙끙 앓았어도 손톱은 하얗게 자라났다
손등에 파란 핏줄이 가지를 치며 손가락 사이사이로 스며들고
따끈따끈하게 열이 오른 손바닥은 마주해도 외롭다
칠 학년이 되도록 열 손가락 아직 온전하다는 것이 참 다행이다
유난히 길쭉한 손가락이 수없이 일하며 날 지탱해 주었다
이제껏 온전히 함께해 주어서 고맙다
정년이 다 되도록 지지고 볶은 일터도 돌아보니 보람으로 충만했고
식구들 밥 챙기고, 옷 챙기고, 자식들 보듬어 주던 손가락보다
두툼한 손바닥이 넉넉해서 나도 따뜻했다
손등에 돋아난 얼룩이 나이만큼 늘어나고
새끼손가락 마디가 만지면 통증이 찌르르해도
이만하면 잘 살았다고 하품이 터진다"
낭만처럼 슬픈 골목길에 하얀 찻집 하나,"어쩌면 잊어버린 처음 사랑의
한편의 만남
낮은 별이 잊어버린 가오리연에 달려 있는
꼬리와 바람의 떨림
방패연에 실어
봄과 여름의 또 다른 헤어짐은
그래서 가을만이 가지고 있는 아픔도 속성이 있는지 모릅니다.
그렇게 떠나보낸
눈물이 깊이는 강물에 가고
숲을 만들 수 있어
보이는 소낙비의 편지 한 장에 쓰인
이미 지워진
단 하나의 글자
그 뜻을 마음이 곱지 않으면
나뭇잎의 또한 어리석음도 이처럼 알 수 없습니다.
그래서 마음을 기다리는
그림과 시간과 조화된 비롯됨에
무엇이든 사물을
정교하게 기워
아픔의 곳을 진흙으로 메꾸어 주면
그리움의 따듯한
천년이 구워지고
이내 상처도 다시 아물어
당신의 그림 안에 겨울이
하얀 눈송이 유리 성을 쌓을 수 있음은
별이 되어
단 하나의 눈송이 싸락눈에
그림의 중심을 벗어난 가장자리에도
겨울 가로등의 낭만이 있어
불꽃을 터트릴 때
고요함의 진실은 한걸음 가야할 시간을 알게 됩니다.
그래서 그림의 가슴
녹아내리지 않는 뜨거운 심장
까치의 작은방
당신의 언약함을 어깨로 안아
하얀 그림의 주인공이 되어 당신의 곁에 있습니다."
나도 나그네인가,"겉으론 의젓이 서 있는 나목들
입을 막아버린 침묵의 거리
해는 서산에 내려앉으며
한마당 빛의 쇼가 열리는 저녁노을
관객 없는 광장엔 나목만이 우뚝
내일을 바라보고 서 있을 뿐
허무한 인생이라 그런가
그리움도 없어 고독에 잠긴 인생
밀려오는 어둠을 헤쳐 갈 수 있을까
두려움에 떨고 있는데
새로운 빛이 빛나면
그날처럼 밝을 빛을 비출 수 있을까
의문을 품은 채 희망을 안고
봄을 향해 떠나는데"
구절초,"알 수 없지만
호수위로 내리는 비와
작은 찻집의 추녀 끝에 내리는 비와
내 마음에 내리는 비를
지우려고 발길을 멈추니
찻집 마당에는
달걀처럼 둥근 구절초 꽃잎이
날고 싶은 듯 나를 바라보고 있다
꽃이파리 빗속에서 더 이쁘다"
우수,"피가 돌고 맥이 뛴다
청매화 꽃눈도 야물딱지게 보풀어 올랐다"
나무들도 겨울에는 이불을 덮는다,"어린날,
따순 체온이 내 마음을 다독여 주셨다
할머니가 어머니에게 그랬듯이 어머니가 나에게
그랫듯이 내가 내 자식들에게 그랬듯이
나이먹은 나뭇잎들은 다가 올 겨울, 나이테의 생장점을
촉진시켜 주기 위해서 마지막 하나까지도 헌신한다
나무들이 언제 고단함을 말하던가,
짙고 푸른 나뭇잎을 자랑하던가,
유채삭으로 단장한 환희를 표출하던가,
묵묵히 서서 가진 것을 모두 주고만 있다
한자리에 서서,
궁핍한 일상속에서도 어린 시절 이불깃에 남아있는
어머니의 따순 체온을 떠 올리면 일상이 훨씬 가벼워 진다
나무들도 겨울에는 이불을 덮는다
그리하여 겨울숲은 따스하다"
품격,"타고나는 성품
사물 따위에서
느껴지는 품위와
갖추어야 할 위엄
간직해야 할 기품
인격적인 생각 행동
경거망동하지 않고
두드러진 군계일학
바른말 고운말 쓰는
수준높은 교양갖춘 말씨
품위 잘 지켜나가는 언행
철학과 예술도 늘 가까이하는
고상하고 격식있는 인품 마음씨"
꿈의 가장자리에 보이는 나뭇잎,"신비하고 찬란한 아침의 모습
그렇게 멋지게 주머니에 꼽아 놓아
숲처럼 듬성 등성
나무들 사이로 걸어갈 수 있는
키타 소리들
그래서 가을은 혼자만의 낭만을 말없이 가졌고
그림마다 강물을 넣어 기다린
푸른 시간이
아카시아 향기와 코끝에 하얗게 흐르도록
노래의 순서에는
잊히지 않는 별빛이 보입니다.
아름다움의 시간을 개어 만든
무지개의 비밀
누구에게나 공평하게
봄날의 안개는 비가 되어 내릴 수 있도록
꽃들의 향기를 만드는 작업에 초대된
저녁노을
가을과 단풍잎 사랑
그래서 늦게나마 나뭇잎은 편지와 친구가 됩니다.
음악의 깊이에 이르는
나뭇잎의 고요함의 언덕
행복을 심고
푸른 숲이 되는
종달새의 어느 소낙비 내리는 오월들의 찬란함은
그렇게 푸른 들판으로
보리피리와 깜부기
오직 꿈만이 가질 수 있는 그리움의 시간 안에
별과 바람을 몰아
은근과 오래 참음이 되면
천년마다 기도가
외로움의 등대 앞에
이제 불을 켜고 당신의 마음을 비추고 싶어 합니다
그래서 아름다운 날에요
별이 되는 나무들 사이
눈물로 보이는 그리움
별빛이면 마음을 만들어 내는 일을 결코 멈추지 않습니다."
아름다운 사랑,"헤아리는 마음으로
사랑을 하는
당신은 참으로 아름답습니다
주고 싶은 마음도
받고 싶은 마음도
아껴두는 마음으로
사랑을 하는
당신은 참으로 아름답습니다
자신보다는
상대를 세워주는
넉넉한 마음으로
사랑을 하는
당신은 참으로 아름답습니다
진정한 마음으로
당신은 사랑을 하고 있으니까요"
부부싸움,"개천 둑길을 걷는데
저기, 먼 데 물가에 오리들이 있다
하나, 둘, 셋, 이상하다
아내가 말했다
한 마리는 첩인가 봐
아니야, 요즘 세상에 첩이 어디 있어
샛서방이겠지
첩이야, 샛서방이야 하면서
거품을 물고, 열을 올리다 보니
어느새 우리는 오리 가까이 왔다
한 마리가 더 있잖아, 그러면 그렇지
다행이라며, 놀란 가슴 쓸어내렸지만
우리는 서로 바라보며 서로에게
쑥스럽고 민망하고 미안합니다"
"야생화, 집안에 들다","꽃이 아는체한다.
가까이 가 살펴보았더니
철쭉꽃이다
어떻게 저게
산에나 있을 야생화인데
사람 사는 집 안에 있어 몰라보게 허벅진 것을 보니
산에서 캐 왔거나 꽃집에서 사 왔겠지
때맞추어 거름도 주고 물도 주고
주인의 사랑을 많이 받았나 보다
교회도 성도들이 있다
하나님의 사랑으로 구별된 사람들
예배드리는 모습이 거룩하고,
찬양이 살아 있다
예수님은 성도들의 목자라 했거니
말씀 따라 열심히만 살면 세상살이 걱정 없단다
집에 오는 길에서 다시 만난 철쭉꽃
이번에는 햇빛을 한 아름 안고
바람을 흔들며 자랑한다
나도 흔든다
오늘 받은 은혜가 사방으로 퍼지게"
안경을 벗으면,"사람들의 움직임이 그렇고
내 어깨위로 내려앉는
삶의 무게 또한 그렇다
다시, 부드러운 수건으로 안경을 닦고
세상을 바라보면
거기, 낡은 행주치마처럼
구겨진 나의 일상이 우두커니 나를 바라보고? 있다
오랫동안
나와 함께 한
낡고 빛바랜 행주치마를
표백하고 다림질하면
일상이 훨씬 가벼워지려나"
세월 열차,"세월 열차는 달려간다
눈보라를 헤치며 달리는 열차
봄 역을 떠나 여름 가을 역을 지나고
겨울 역으로 달리는 급행열차
새봄은 또 반갑게 오겠지만
세월 열차는 멈출 줄 몰라
내다보며 구경할 틈도 없이
일손 놓는 은퇴 역을 향해
오늘도 숨차게 달려간다
한 번 타면 내릴 수 없는 열차
고속 급행 세월 열차는
온종일 달리고 또 달려간다"
추억의 향기,"청춘을 불사르던 사랑
밀려오는 행복
영원할 줄 알았는데
운명도 짓궂어라.
이별의 장벽이 가로막는
꺾을 수 없는 타인의 꽃이었다.
무정세월 따라 흐르며
애틋한 미련으로 남아
머나먼 꿈속에서 빛나는
덧없는 사랑
수없이 불러보는
정겨운 그 이름
감미로운 그 음성
밤그림자를 타고 떠오르는
그리운 임의 모습은
알싸한 추억의 향기였다"
어느날 풀잎들의 아침이 오면,"고움과 이룩됨을
생각이 곱게 빛나는 고요 함안에 그려두고
언제나 그 순수함을 잃어버리지 않도록
하얀 첫눈이 내려오는 곳에
노래의 담장을 보내
소복소복
그리움이 말하는 언어를 찾아낸
별들이 물어온
산까치의 가을 의미
이제 초록색의 세상이
당신의 그림자로 온종일 놓이게 됩니다
고요함의 정교함 그 공교로움
별빛의 노래를 알고 있는
노란 단풍잎에
또 다른 감성을 가진
심장의 두 느낌을 가질 수 있도록
은행나무 편지를 보내
꿈을 한 장 한 장 쌓아서 이룩한
불타는 마음이 골짜기
이미 우체통에 넣어둔
산 아래의 자전거를 타고 오는
가을의 풍경 시작은
붉음이 대문을 열어 갈잎 시냇물을 보내옵니다.
이렇게 아름다운 날이면
당신의 마음
별의 노래들의 그린 하늘호수
속이깊은 청사진이
하늘빛의 마음을 고운 생각을 넣어
그 깊음의 의미 안에
순수로 갈 수 있는
작은 나사의 가로와 세로를
세미하고 정교하게
한곳에서 꺼내 볼 수 있는
산까치의 책의 틀을 완성하고
고요한 아침이 밝혀주는
마음을 기울이고 들을 수 있는 숲의 입김을 가져옵니다."
겨울 이야기,"홀로 앉아 있는
참새 한 마리
눈을 맞으며
젖어 오는 눈위에서
작은 몸을 나뭇가지에 의지 한 채
그냥
눈을 맞고 서 있는
참새 한마리
나를 더 가엽다고 하지는 않을런지"
평화를 위한 기도,"낮아짐을 통하여 겸손은 자라오르고
겸손을 통하여 평화는 피어나리니
인생은 하얀 눈길 위의 발자국처럼
마음이 향한 바를 보여주리니
저의 마음으로 하여
가장 낮은 자리에 앉은 자 되게 하소서"
슈가 팜트리,"무서운 나무다.
야자나무와 비슷하여 아름다운데
줄기가 톱날처럼 날카로워
한번 베이면
특이한 진으로 봉합이 안 된다.
학살용으로 쓰이던 나무로
바닥에서 사람의 목이 닿는 높이까지는
피가 묻어 있어
피의 나무, 학살의 나무, 지옥의 나무로
불리어 왔다. 나무로
사람을 잡는다. 돼지를 잡는다.
앙코르 와트 사원 연못가에서
캄보디아 들녘 곳곳에서 만나는
가슴 서늘한 나무다.
절대로 만져서는 안 되는
눈으로만 사랑해야 하는
애달픈 나무, 죽음의 나무"
감은 익으면서 큰다,"붉게 익는 줄 알았더니
조막만한 새파란 감이
노르스름하게 익어가길래
쪼그만게 벌써 익느냐고, 벌써 물들이면
언제 열매를 키울거냐고 했더니
다음날, 다다음날
감은 익으면서 크고 있었다.
어른들 눈에 새파랗게 보이는
조막만한 아이들
속살 키우기도 전에
노르스름하게 익어가는 것 같아
아이야, 아서라 아서라 했더니
감나무 잎사귀 뒤에 숨어 숨어
익으면서 크고 있었다.
아이들이, 어른들 눈에 작아 보이는
아이들이 감의 지혜를 먼저 읽은 것이다.
저렇게 익으면서 크는 아이들이."
가을 장미,"꽃잎만 보라고 가시는 숨기는데
야속하게도 고운 님은
꽃잎은 보지 못하고 가시만 봅니다.
미운 님이 곁에 올 땐
가시만 보라고 꽃잎은 숨기는데
안타깝게도 미운 님은
가시는 보지 못하고 꽃잎만 봅니다.
고운 님은 잡으려 해도
가시가 앞서 멀리 달아나고
미운 님은 보내려 해도
꽃잎이 앞서 자꾸 따라 옵니다.
꽃잎 질 때 고운 님 떠나가고
가시 질 때 미운 님 떠나보내고
향기 하나에 목숨만큼 사랑을 쏟는
눈먼 님만이 곁에 있습니다."
물안개 걷히는 아침이면,"늘 젖어오는 씨앗이었다
담가놓은 낚시줄은
노래가 되어
어린 날의 꿈을 낚고 싶은 마음으로
꽃강처럼 흐르는데
파문져진 물결은
시방 걷고 있는 내 인생좌표
어디쯤을 가리키는 것일까
마음속 깊이 원하는 참한 그리움이
고기비늘처럼 번득일 때
노을빛 수면 가득 물살이 일고
작은 마을에 맞바람치는 종소리처럼
내 여기 오래오래 머무르고 싶어
물안개 걷히는 아침의 바람이 되어
갈대밭에 머무노라"
달콤하고 아련한 처음 느낌의 작은 두드림,"어느 날은 도서관을 푸르게 하는
나무들의 가지에 달린
생각의 창문에 있는 애태움의 시간
고운 햇살로 찾아내야 하는
아름다움의 숨겨진
마음의 고백이 보여주는
오직 초록색을 사랑한
푸른 하늘의 눈물
그렇게 붉은색으로 노을의 시간을 보낸
꽃이 되는 애태움
한 장의 편지로 보내
고운 새들이 단풍잎으로 기다림을 알게 합니다
마음이 언어들
오직 눈빛으로 초록색을 읽어
어느 책을 읽어야 하는지
강물이 되어
푸른색으로 고민하는
찬란하고 아름다운 풍경
그런저런 거칠어진 숲속 페이지들이
소낙비 내리는 아침이어도
하얀 도화지로 감싸고
처음이 주는
보라색 잉크 냄새로 반달을 기다리게 됩니다
그래서 어쩌면 산까치의 가는 펜으로
다 그려내지 못한
아름다움이 가진
별빛의 심장이 주는 느낌표를
단단하게
순수의 고랑마다 고정하도록
고운 대장간에서
나뭇잎이 밤새 두드려 만들어 놓은
하얀 이슬비를
나비들의 정원에 하나둘 보내어
꽃이 피고
꽃이 말하는 시간이 이제
하나의 꿈들이 고요함을 드러낼 때의 그 기다림은"
하얀 그리움,"하얀 그리움에 담은 아픈 이야기
세월 속에 묻힌 그리움
영원한 재회란 있을 수 없는 생이별
돌아 올 수없는 마지막 열차로
떠나간 절망의 인생이었다
눈물로 뒤범벅이 된 그 얼굴
눈물이 얼어붙을 듯싶은 영하의 날씨
울음의 이별의 노래 끊이지 않고
요란스럽게 퍼져가고 있었다
숱한 세월 유수처럼 흐르고
어느 해인가 잊어버린 야속한 세상
그래도 그리움으로 오신 어머니
그 사랑을 보여 주셨기에
허연 억새는 너무 행복했다고"
바람이 불면 2,"바람이 불어오네
퍼즐 조각 같이 흩어러진 삶도
다 맞추지 못한
아쉬움을 남긴 채
떠나야 할 때가 되었나 보다
밤마다 슬픈 기도에
꽃자리만 남기고 떠나간 홀씨가
어디엔가 뿌리내리는 시간
남겨진 외로움으로
바삭거리는 육신
바람과 함께 가라는가 보네
척박한 땅에서
싹을 키워 낸 인내
눈물 뿌린 시간 얼마인가
외로움만 짙어진 삶
마른 가지에 부는 바람 소리
떠나야 할 시간
아! 바람이 불어온다
2008년도"
바람이 불면 1,"묶어둔 마음의 매듭을
잘라내면
울렁이는 가슴
먼지처럼 분분이 나는데
어찌하랴
또 돌아서서
흘러간 세월 되새김 하면
그때 그때
엉킨 떠나간 인연들
서럽고 서러워"
초록색 노래의 별이 되어 서 있는 가을,"단풍잎이 노란색으로 오려낸 저녁 햇살
은행잎의 외로움이 쌓아놓은
순수라는 그 느낌
노래들의 펼쳐놓은
은빛 앨범 속에는
고움을 알려주는
하얀 종소리가 나뭇잎 아침을 열어
그 찬란함이 하늘 호수 건너
강물의 언덕을 지나
종달새의 저녁 시간의
한가로움을 알려주는
정오를 가슴속에 느낌으로 울리게 됩니다.
스스로 이슬비 되어
노란 우산을 들고 찾아가는
민들레 찻집
가슴이 따듯해질 때까지
초록색 달콤함을 휘휘 저어
그리움과 함께
눈물 한방을 넣어 마셔볼 수 있도록
그렇게 소낙비는
천사의 생각으로 들어야 할
외로움의 존재를
별들의 가끔은 혼자 있어.
때론 빛남의 엔진소리를
저녁 무렵의 기침 소리로
고운 꽃들이 깨지 않도록
향기의 문풍지를 두드려
고요함이 들키지 않도록 살며시 들려주었습니다
그래서 아름다운 날에요
새들처럼 날아갈 방향을
서로 정하지 않고
그리움이 향하는 대로
서투른 날갯짓해야 하는
작은 도랑과 물결들
순수를 엔진처럼 불태워
강물의 심장을 데우면 처음 나뭇잎에 날아갑니다."
문,"동면에 들어갈 문 하나 있었으면
그 문 하나 열면
작은 둥지 하나 있어
퍼질러 앉기도 눕기도 하면서
긴 동면에 들어 갔으면
무서리 녹아 빈 들에 봄이 와
나무에 물 오르는 소리가 졸졸 들리는 날
검은 머리
약관의 나이로 다시 일어서면
좋은 시 한편 쓸 수 있을까"
한 줄 글의 즐거움,"느껴보세요
얼마나 다정한지
이 시름 저 시름
모두 걷어가며 토닥토닥
겨울에는 눈꽃으로
봄철은 그윽한 매향으로
여름에는 짙푸름으로
우리에게 필요한
용기와 희망이라는 뜨거움이
한 줄 글에 있습니다"
보고 싶은 마음,"깊은 곳에 두고
혼잣말로 꺼내어 보고
다시 제 자리에 잡아두네요
우리 부모님도
그러했으련만
늙어보아야 안다더니
안 계시는 지금이야
그 마음 헤아리며 눈물 나네요
후회는 세찬 빗줄기로
몸과 마음으로 젖어 들지만
돌이킬 수 없음에 더 절절하니
어렵다 생각 말고 정성을 다하여
눈물 대신 미소로 기억하게 되기를..."
1월에,"그대는 어디쯤에 서 있나요
12월을 보내고
새로운 희망의 문을 연
1월도 빗장을 닫으려 합니다
목청껏 부르고 싶던 이름도
옛 기억의 그림자로
서글픈 이방인이 되었지요
아련하게
흘려보낸 정들을 다시
잡아두고 싶습니다
청춘은 태풍처럼 스치고
너무 늦게 알아아버린 순간들은
바라만 보아야 하는지요
잔잔한 평안을 기도하며
작은 것들로 아름다운
하루를 만들어 가려 합니다"
매화꽃 피는 날엔,"눈 속 송이송이 매화꽃 품고
콧노래라도 불렀으면 싶다
절망도 뛰어 넘은 세월
옹골찬 가지 끄트머리에 매달려서
삭풍 속에서 맨몸으로 피어난
하얀 백설로 싸인 매화
눈 속에 파묻힌 절세미인
엄동설한에 맑은 향기를 간직한 몸
춥게 살아도 향기를 팔지 않는
올곧고 결백한 성품이란다
매화꽃이 피는 날엔
눈을 맞으면서라도 어디든 달려가
서로 얼싸 안고 매향에 취해
사랑앓이를 하고 싶은데"
누구나 처음 숲이 되는 그리움이란,"굵은 초록색 언덕이 일함을 볼 수 있는
나무들이 그리움의 시간에도
별빛으로 피어날 수 있는
천년의 혜안이
마음속에 여기저기 기도할 수 있는
작은 언덕을 만들어
저마다의 숲과 햇살과 고요함이 서로의
순서를 마다하지 않고
노래의 마음처럼
서로 조화를 이루어 하나의 애태움을 그려냅니다
이렇게 그리움의 깊은 시간이면
외로움이 읽어주는
수필의 앞마당에 가져오는
고요함의 비밀에 말하는
강물의 가을 속에 들어있는
바람이 불어오는 곳으로 걸어가는
마음의 순서가 정리되도록
산까치가 알려주는
신호등은 단풍잎을 지나온 한 장의 나뭇잎에 서 있습니다.
이렇게 처음이라는
때론 지난 단어들이 모인
한날에 정오에 비치는 그림자가 알고 있는
그렇게 가을 속으로
이슬비로 내리는 별빛들
새끼손가락으로 그려낸
숲의 느낌처럼
초록색의 찬란함 속에
은빛 나무들의 아침을 하나둘 꺼낸
그 성급함에
아직도 기다릴 수 있는
초록색의 눈물이 있는 곳에
고요함으로 살며시
그 달려감에 있는 꽃잎으로
향기의 아침은 푸름의 그림 속을 마음에 가져옵니다
언제나 당신의 그리움이
나뭇잎 고요함이 말한 숲속이 일어나도록"
보고 싶다,"교실 옆에 있는 20년 된 감나무가
윤기 흐르는 이파리를 내밀어 주던
그 나지막 하던 손
내가 서 있는 곳에서
15도 방향에 서서
나를 바라보아 주던
감나무
그처럼
그리움도 언제나 15도 방향으로
움직이면 만날 수 있는 곳에
서 있는 줄 알았다
15도, 45도, 90도, 180도
그리고
360도를 돌아서 원점으로 돌아와서야
그 사람도 그 사람이 바라보는
방향이 있다는 것을 알게 되었다
교실 옆 20년 된 감나무가
보고 싶다"
한파 극복,"맘은 데워서
반짝 추위를 이겨내야지
머지않아 곧 봄이 올 테니까
희망을 갖고
이 어려움을 견뎌내야지
따사한 봄
소망하며
차분히 기다려야지"
사랑은 봄꽃처럼 오더이다,"앞지르지 않고
사랑하는 사람
뒤에서서 천천히 바라보며 오더이다
좋은 것 다 주고 싶어서
앞서거니 뒷서거니
피고지는 봄꽃처럼 오더이다
사랑은"
비디오 판독,"모든 공격 막아내는 수비, 강한 서브도, 엄청난 공격도 두려워하지 않는다
하얀 그물망을 가운데 세워놓고, 손끝으로 슬쩍 스치는 터치아웃도
팬케이크 수비도, 선심의 눈도 속이는 인아웃도
시퍼런 심판 눈길도 부족해, 초고속 카메라로 다시 판단하는 비디오 판독
들여다보는 이가 넘치는데도, 자극적인 가짜 뉴스가 판치는 세상살이에
눈속임의 고수가 피해 갈 방도가 있을까
눈에 불을 켜도, 범죄의 사각지대가 있고
기초수급 대상자가 되기도, 안 되기도 애매한 복지 사각지대를 바라보며
세상살이 거친 공격도 리시브로 정확하게 판별하는 비디오 판독을 신청한다
시원한 판가름이 정의 구현의 핵심이 될까"
